	MR	ARI_o	ARI_r	Time
85	0.0	0.8148529845874772	0.7982439150813255	0.15541
86	0.0	0.834748701714365	0.8253986603002134	0.15293
87	0.0	0.8523630650977526	0.8424372777919562	0.15697
88	0.0	0.8694132485319809	0.8589236452959965	0.15078
89	0.0	0.8352322122745729	0.8296449984926137	0.15032
90	0.0	0.8438920198462805	0.8317400784778579	0.15716
91	0.0	0.8719738129698473	0.8603700730931227	0.19726
92	0.0	0.8035591586222308	0.7930946560072436	0.15097
93	0.0	0.8242840227712174	0.8068221276026475	0.15379
94	0.0	0.835190801012479	0.824324653553992	0.24148
95	0.0	0.8106995176975718	0.802121400412432	0.15542
96	0.0	0.8592716993993496	0.8490381758615393	0.15315
97	0.0	0.8171162190457767	0.8037243619801867	0.19189
98	0.0	0.8512517206302584	0.8398145552891695	0.15483
99	0.0	0.8788061349100967	0.8704898962557773	0.14941
100	0.05	0.8250597341621905	0.8178487333667981	0.14765
101	0.05	0.8207093509015473	0.8171492839543586	0.15223
102	0.05	0.8002566018000027	0.795601487749534	0.15718
103	0.05	0.792177823964108	0.785593460663787	0.15881
104	0.05	0.8156020304373544	0.8173033388190394	0.15684
105	0.05	0.8195674898784406	0.8192612596702123	0.15492
106	0.05	0.8366508162576088	0.8324661644183514	0.15635
107	0.05	0.8301282141303746	0.8245404198167982	0.21467
108	0.05	0.8628844004567264	0.8618316146866324	0.16219
109	0.05	0.8040332772250882	0.8001694382146485	0.14911
110	0.05	0.8607422608852374	0.8554150148312735	0.1504
111	0.05	0.8413485873346809	0.8341667989916152	0.15319
112	0.05	0.840761255432281	0.8446179315291105	0.1526
113	0.05	0.8202505714202616	0.8210109380931109	0.15864
114	0.05	0.8272675367093347	0.8230350894050558	0.18679
115	0.05	0.8723744510937865	0.8664220598473188	0.16228
116	0.05	0.867450573758772	0.8598486139445948	0.1907
117	0.05	0.8188158508409284	0.8157760484415993	0.15769
118	0.05	0.8256732699213792	0.8201108988212317	0.1563
119	0.05	0.8391466671156312	0.8365735783842515	0.15572
120	0.05	0.8056603661112137	0.8003893252206383	0.15773
121	0.05	0.8299305834993407	0.824139694001581	0.14909
122	0.05	0.8082248581712075	0.8043432008491838	0.15898
123	0.05	0.8492630928884611	0.8466084383478968	0.16755
124	0.05	0.8094028087017733	0.8094751584311769	0.15098
125	0.05	0.7984955469697437	0.7894925786763697	0.18317
126	0.05	0.8153283608832725	0.8128780180898032	0.15983
127	0.05	0.8358673200436036	0.8273379266119537	0.14404
128	0.05	0.8390213151214602	0.8336572411250902	0.15833
129	0.05	0.8322978229714912	0.8292828732205701	0.14751
130	0.05	0.8287483728396873	0.8281787554888215	0.14611
131	0.05	0.8026565168606854	0.8008849561784169	0.14998
132	0.05	0.830162008154948	0.8278741457656142	0.1524
133	0.05	0.8625491113763541	0.8568168416675218	0.15163
134	0.05	0.7891062982256034	0.781575074651453	0.15767
135	0.05	0.8410423823367246	0.8412410645239621	0.14606
136	0.05	0.8181365303076104	0.8154593506575005	0.15546
137	0.05	0.8201692123195631	0.8147631294557177	0.15247
138	0.05	0.8380280172531728	0.8374453334539853	0.14848
139	0.05	0.8145727131646561	0.8105828320076305	0.1983
